职位,公司简称,工作地点,薪资,工作经验,学历,技能标签,行业,融资状况,公司人数
资深售前工程师 (数据库方向) 广州/深圳,甲骨文,广州·天河区,25-50K,10年以上,大专,"Oracle数据库,Exdata,OCM",计算机软件,已上市,10000人以上
技术美术,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"技术美术,UE4",游戏,已上市,10000人以上
UC事业部-Android技术专家,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"Android SDK,Android Studio,react-native",互联网,不需要融资,10000人以上
UC国际高级前端、前端专家,阿里巴巴集团,广州·天河区,25-50K,经验不限,大专,"react,node.js,typescript",互联网,不需要融资,10000人以上
交付项目经理,腾讯,广州·海珠区,40-70K·18薪,5-10年,本科,"PMP,文档,项目管理",互联网,已上市,10000人以上
导航算法工程师 （激光SLAM\定位方向）,碧桂园,广州·番禺区,25-50K,5-10年,硕士,"slam,ubuntu",房地产开发,已上市,10000人以上
资深Java开发工程师/技术专家,蚂蚁金服,广州,28-55K·16薪,3-5年,本科,"Java,Node.js,全栈开发,后端开发,架构师,云计算,分布式技术,SaaS",互联网,不需要融资,10000人以上
5G物联网技术支持总监,胜通和,广州·天河区,35-60K,应届生,博士,"IT技术支持,博士岗位",人力资源服务,不需要融资,10000人以上
云计算大客户架构师-广州,京东集团,广州,25-50K·14薪,5-10年,本科,"云计算,技术经理,项目管理,游戏",电子商务,已上市,10000人以上
Web前端开发工程师,腾讯,广州·天河区,30-60K·16薪,5-10年,本科,"前端开发,Node.js,JavaScript,HTML,CSS,Python,Shell,Vue",互联网,已上市,10000人以上
公检法行业售前架构师,腾讯,广州,30-60K,5-10年,本科,"大数据,人工智能,区块链,公安行业,社会治理,云计算顾问,移动平台,智慧社区",互联网,已上市,10000人以上
高级前端开发工程师,阿里巴巴集团,广州·天河区,25-50K·13薪,3-5年,本科,"前端开发,Node.js,JavaScript,HTML,CSS,Vue,React",互联网,不需要融资,10000人以上
腾讯云售前政务应用架构师,腾讯,广州·越秀区,40-70K·18薪,5-10年,本科,"系统架构,高级技术管理,技术管理",互联网,已上市,10000人以上
企业微信后台开发工程师(广州),腾讯,广州·海珠区,25-50K,经验不限,本科,"C++,Linux,后端开发",互联网,已上市,10000人以上
政务云交付工程师,腾讯,广州·海珠区,40-70K·18薪,3-5年,本科,"网络运维,数据库运维,服务器运维",互联网,已上市,10000人以上
数据总监,东呈酒店,广州·白云区,30-50K·13薪,10年以上,本科,技术管理,其他行业,不需要融资,10000人以上
Java高级后台开发工程师,腾讯,广州·海珠区,25-50K·16薪,5-10年,本科,"Spring,Dubbo,Hadoop,Spark,分布式技术,MySQL,Redis,Oracle",互联网,已上市,10000人以上
前端开发工程师（微信+广州）,腾讯,广州·海珠区,25-50K,3-5年,本科,"Vue,React,node.js",互联网,已上市,10000人以上
推荐算法工程师,腾讯,广州·海珠区,30-60K,3-5年,本科,"深度学习算法,推荐算法,广告算法,Python,C++,TensorFlow",互联网,已上市,10000人以上
NLP算法工程师,网易,广州,25-50K·16薪,经验不限,本科,"自然语言处理,深度学习算法,算法设计,Python,Java,C++,TensorFlow,Hadoop",移动互联网,已上市,10000人以上
资深后台开发工程师,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"Python,Go,Django,分布式技术",游戏,已上市,10000人以上
腾讯移动游戏后台开发工程师,腾讯,广州·天河区,25-50K,经验不限,本科,"C++,Python,Shell,Lua,Linux,网络协议,游戏开发,架构师",互联网,已上市,10000人以上
架构师,腾讯,广州·海珠区,30-60K·16薪,5-10年,本科,"项目管理,架构师",互联网,已上市,10000人以上
测试经理/总监,美的IoT,广州·海珠区,35-65K·18薪,5-10年,本科,"测试工程师,自动化测试,性能测试,计算机软件,测试开发,软件测试,物联网",互联网,已上市,10000人以上
大数据开发经理,大参林,广州·荔湾区,25-50K·14薪,5-10年,本科,"数据仓库,分布式技术,Hadoop,Spark,Redis,架构师,大数据,团队管理",医疗健康,已上市,10000人以上
智慧城市业务架构师,腾讯,广州,25-50K·16薪,5-10年,本科,"架构师,大数据,人工智能,云计算,智慧城市,售前,解决方案",互联网,已上市,10000人以上
推荐算法专家新部门有潜力急需人,阿里巴巴集团,广州,30-60K·16薪,3-5年,硕士,"深度学习算法,推荐算法,自然语言处理,Python,Java,C++,分布式技术,Hadoop",互联网,不需要融资,10000人以上
Java技术专家,阿里巴巴集团,广州,30-60K·15薪,3-5年,本科,"Java,SQL,Spring,Struts,分布式技术,MySQL,PostgreSQL,架构师",互联网,不需要融资,10000人以上
JAVA高级开发/技术专家,阿里巴巴集团,广州,25-50K,经验不限,本科,"Java,后端开发,系统架构",互联网,不需要融资,10000人以上
GPU开发工程师,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"Linux,Windows,Android,游戏引擎,虚拟机技术,U3D开发,驱动开发",游戏,已上市,10000人以上
业务平台事业部-技术专家/高级开发工程师,阿里巴巴集团,广州,25-50K,经验不限,本科,"Java,SQL,Spring,Struts,分布式技术,MySQL,Oracle,Linux",互联网,不需要融资,10000人以上
服务端架构师,网易游戏,广州·天河区,30-50K,5-10年,本科,"分布式技术,后端开发,Python,C语言,MySQL",游戏,已上市,10000人以上
高级Java后台开发工程师,腾讯,广州,30-60K·18薪,3-5年,本科,"Java,Spring,Dubbo,Hadoop,Spark,分布式技术,后端开发,ETL",互联网,已上市,10000人以上
测试开发专家,阿里巴巴集团,广州,25-50K·16薪,经验不限,本科,"测试工程师,软件测试,性能测试,Python,Java,分布式技术,大数据,电子商务",互联网,不需要融资,10000人以上
Java高级后台开发工程师,腾讯,广州·海珠区,30-60K·16薪,5-10年,本科,"Spring,分布式技术,MySQL,Redis,Java,后端开发,架构师",互联网,已上市,10000人以上
大数据研发工程师/专家（广州-杭州）,阿里巴巴集团,广州,25-50K·16薪,3-5年,本科,"数据仓库,ETL,SQL,分布式技术,Hadoop,架构师,大数据,云计算",互联网,不需要融资,10000人以上
数据挖掘工程师（微信+广州）,腾讯,广州·海珠区,30-60K,3-5年,硕士,"数据挖掘,机器学习",互联网,已上市,10000人以上
企业邮箱安全后台开发工程师(广州),腾讯,广州·海珠区,25-50K,经验不限,本科,"C++,Linux",互联网,已上市,10000人以上
游戏引擎开发工程师,网易杭州,广州·天河区,25-50K·16薪,经验不限,本科,"C++,Lua,游戏引擎,UE4开发,游戏",互联网,已上市,10000人以上
Java高级工程师/技术专家,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"Java,后端开发,Linux",互联网,不需要融资,10000人以上
高级后台工程师 - Golang,今日头条,广州·天河区,25-50K,经验不限,本科,"Python,Java,Golang",移动互联网,D轮及以上,10000人以上
Hadoop/Spark开发,唯品会,广州·荔湾区,30-60K,5-10年,本科,"Java,Hadoop,Spark",互联网,已上市,10000人以上
大数据售前解决方案架构师 - 广州,阿里巴巴集团,广州,30-50K,10年以上,本科,"业务架构,技术架构,售前技术咨询",互联网,不需要融资,10000人以上
【杭州】Java技术专家/Java高级工程师,阿里巴巴集团,广州,25-50K,3-5年,本科,"Java,Spring,分布式技术,MySQL,Linux,SaaS",互联网,不需要融资,10000人以上
前端开发工程师/专家-杭州/北京,阿里巴巴集团,广州,25-50K,3-5年,本科,"前端开发,Node.js,JavaScript,HTML,CSS,Java,PHP,Python",互联网,不需要融资,10000人以上
unity专家（图形方向）,网易游戏,广州,25-50K·16薪,5-10年,本科,"移动端,U3D开发,游戏引擎",游戏,已上市,10000人以上
后台开发Leader-广州,今日头条,广州·天河区,60-90K,5-10年,本科,"后端开发,Golang,Python",移动互联网,D轮及以上,10000人以上
